Caracteristica,Fecha,Periodo,FECHA,ACTUAL,Consenso,Previo
P1,30-abr-20,Q1-20,1,-0.038,-3.50%,0.10%
P2,15-may-20,Q1-20,2,-0.038,-3.80%,-3.80%
Oficial,09-jun-20,Q1-20,3,-0.036,-3.80%,-0.10%
P1,31-jul-20,Q2-20,4,-0.121,-12%,-3.60%
P2,14-ago-20,Q2-20,5,-0.121,-12.10%,-12.10%
Oficial,08-sep-20,Q2-20,6,-0.118,-12.10%,-3.50%
P1,30-oct-20,Q3-20,7,0.127,9.40%,-11.80%
P2,13-nov-20,Q3-20,8,0.126,12.70%,12.70%
Oficial,08-dic-20,Q3-20,9,0.125,12.60%,-11.60%
P1,02-feb-21,Q4-20,10,-0.0007,-1.20%,12.50%
P2,16-feb-21,Q4-20,11,-0.006,-0.70%,-0.70%
Oficial,09-mar-21,Q4-20,12,-0.007,-0.60%,12.60%
P1,30-abr-21,Q1-21,13,-0.006,-0.80%,-0.70%
P2,18-may-21,Q1-21,14,-0.006,-0.60%,-0.60%
Oficial,08-jun-21,Q1-21,15,-0.003,-0.60%,-0.30%
P1,30-jul-21,Q2-21,16,0.02,1.50%,-0.30%
P2,17-ago-21,Q2-21,17,0.02,2.00%,2.00%
Oficial,07-sep-21,Q2-21,18,0.022,-0.60%,-0.10%
P1,29-oct-21,Q3-21,19,0.022,2.00%,2.20%
P2,16-nov-21,Q3-21,20,0.022,2.20%,2.20%
Oficial,07-dic-21,Q3-21,21,0.022,2.20%,2.20%
P1,31-ene-22,Q4-21,22,0.003,0.30%,2.20%
P2,15-feb-22,Q4-21,23,0.003,0.30%,0.30%
Oficial,08-mar-22,Q4-21,24,0.003,0.30%,0.30%
P1,29-abr-22,Q1-22,25,-0.002,0.30%,0.30%
P2,17-may-22,Q1-22,26,0.003,0.20%,0.20%
Oficial,08-jun-22,Q1-22,27,0.006,0.30%,0.30%